Timp,Nivel de oxigen,Puls cardiac,Mişcare
21:20:42 15/10/2025,86,74,0
21:20:46 15/10/2025,85,73,0
21:20:50 15/10/2025,85,74,0
21:20:54 15/10/2025,85,75,1
21:20:58 15/10/2025,85,75,0
21:21:02 15/10/2025,85,75,1
21:21:06 15/10/2025,85,75,0
21:21:10 15/10/2025,86,74,0
21:21:14 15/10/2025,85,73,0
21:21:18 15/10/2025,85,72,0
21:21:22 15/10/2025,86,73,0
21:21:26 15/10/2025,86,74,0
21:21:30 15/10/2025,86,75,1
21:21:34 15/10/2025,86,74,0
21:21:38 15/10/2025,85,74,0
21:21:42 15/10/2025,85,74,0
21:21:46 15/10/2025,86,74,0
21:21:50 15/10/2025,86,74,1
21:21:54 15/10/2025,85,74,0
21:21:58 15/10/2025,85,74,0
21:22:02 15/10/2025,85,74,0
21:22:06 15/10/2025,85,74,0
21:22:10 15/10/2025,85,74,0
21:22:14 15/10/2025,85,74,0
21:22:18 15/10/2025,85,74,0
21:22:22 15/10/2025,85,74,0
21:22:26 15/10/2025,85,74,0
21:22:30 15/10/2025,85,74,0
21:22:34 15/10/2025,85,74,0
21:22:38 15/10/2025,85,74,0
21:22:42 15/10/2025,85,74,1
21:22:46 15/10/2025,85,74,0
21:22:50 15/10/2025,85,75,0
21:22:54 15/10/2025,85,74,1
21:22:58 15/10/2025,86,74,0
21:23:02 15/10/2025,86,74,0
21:23:06 15/10/2025,85,72,0
21:23:10 15/10/2025,86,72,0
21:23:14 15/10/2025,86,73,1
21:23:18 15/10/2025,85,74,1
21:23:22 15/10/2025,85,73,0
21:23:26 15/10/2025,85,73,0
21:23:30 15/10/2025,86,74,0
